Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
e6ef23848e7b8ab80ce4ec4280b50428,*,,,,,,,
f3b32ae8d911bb4d51354311513f7ab9,,,,,,,,
6dafbe26918731e3bc8c294838099e98,**,,,,,,,
c959f58c1b8be9807e157b0fa54f1a27,,,,,,,,
8bb0004290ea6e9ce352f55350a9c5a7,,,,,,,,
a7a147ba43fb5888f6b2452b85ca8569,,,,,,,,
bb3c28a8b55d7a8b86ebfe7f7387e6f3,***,,,,,,,
5e4f944bf86157726cb89b516d622ffd,***,,,,,,,
910e041c32e22a8da7c7aaa0191c9ac4,,,,,,,,
487a17641df6be05e49d9e1ec726d2b5,,,,,,,,
61e3a05af55019d8d29ea8ddbfee780d,,,,,,,,
d84619712b26f7e0c06943ebbebefc3c,,,,,,,,
8ec8cbd46a94f3eecd4ffed86c0ac8b3,*,,,,,,,
3aa25ee0ccf1764e818182eef9340b71,*,,,,,,,
d24ee54b00141716673192d175ce8468,,,,,,,,
e80b7ee7b8da33d2126ee5c1d716faa5,,,,,,,,
a3e4812b21dfb4d85852ff5dc5984d90,***,,,,,,,
f847aebbbd18d2ea04d02b4369306c48,,,,,,,,
016a38c286f8bd0508e89e6f23300f08,,,,,,,,
066b695f2c9a7791eeb17079978e1129,**,,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,***,,,,,,,
7f4a6c0157bab8ed866a416170c32aea,,,,,,,,
89e6981e4b0468d2581157ab59de130e,,,,,,,,
c72b061874d0c49c72ef59e422d3e8ae,,,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,*,,,,,,,
062daff76602f04235c2d39d58315162,***,,,,,,,
f9b061101095df90f921f6cf337b34b6,,,,,,,,
d5169cd9970ac6c61bbfdd57fe9c89f1,.,,,,,,,
"[ reached 'max' / getOption(""ma","x.print"")",#NAME?,16391,rows ],,,,
---,,,,,,,,
Signif. codes:  0 æ***Æ 0.001 æ*,*Æ 0.01 æ*,Æ 0.05 æ.Æ,0.1 æ,Æ 1,,,,
Permutation: free,,,,,,,,
Number of permutations: 999,,,,,,,,
Number of permutations: 999,,,,,,,,
